,ID,Dia,Mes,Anio,Latitud,Longitud,Alcaldia,Alcaldia_num,AQI,Crimenes,r,p value,% / 10 AQI
125,15_1_2016_TLALP,15,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,43,12,-0.03953,0.46228,-0.23408
126,16_1_2016_AZCAP,16,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,129,8,0.01273,0.82162,0.07958
127,16_1_2016_BENIT,16,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,112,6,0.04583,0.38995,0.31513
128,16_1_2016_CUAJI,16,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,60,2,0.05489,0.40533,0.27603
129,16_1_2016_CUAUH,16,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,91,26,0.09876,0.06456,0.54579
130,16_1_2016_IZTAC,16,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,104,14,0.13991,0.01036,0.74039
131,16_1_2016_IZTAP,16,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,138,48,0.25845,0.00015,1.20472
132,16_1_2016_MIGUE,16,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,86,8,0.0727,0.17233,0.40209
133,16_1_2016_TLALP,16,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,52,14,-0.03953,0.46228,-0.23408
134,17_1_2016_AZCAP,17,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,119,8,0.01273,0.82162,0.07958
135,17_1_2016_BENIT,17,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,121,6,0.04583,0.38995,0.31513
136,17_1_2016_CUAUH,17,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,128,26,0.09876,0.06456,0.54579
137,17_1_2016_IZTAC,17,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,114,8,0.13991,0.01036,0.74039
138,17_1_2016_IZTAP,17,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,141,40,0.25845,0.00015,1.20472
139,17_1_2016_MIGUE,17,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,101,2,0.0727,0.17233,0.40209
140,17_1_2016_TLAHU,17,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,116,4,0.07758,0.16359,0.47823
141,17_1_2016_TLALP,17,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,64,6,-0.03953,0.46228,-0.23408
142,18_1_2016_AZCAP,18,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,146,12,0.01273,0.82162,0.07958
143,18_1_2016_BENIT,18,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,124,2,0.04583,0.38995,0.31513
144,18_1_2016_CUAJI,18,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,112,2,0.05489,0.40533,0.27603
145,18_1_2016_CUAUH,18,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,121,20,0.09876,0.06456,0.54579
146,18_1_2016_IZTAC,18,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,109,8,0.13991,0.01036,0.74039
147,18_1_2016_IZTAP,18,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,139,38,0.25845,0.00015,1.20472
148,18_1_2016_MIGUE,18,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,123,4,0.0727,0.17233,0.40209
149,18_1_2016_TLAHU,18,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,105,2,0.07758,0.16359,0.47823
150,18_1_2016_TLALP,18,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,106,6,-0.03953,0.46228,-0.23408
151,19_1_2016_AZCAP,19,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,156,16,0.01273,0.82162,0.07958
152,19_1_2016_BENIT,19,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,152,8,0.04583,0.38995,0.31513
153,19_1_2016_CUAUH,19,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,146,34,0.09876,0.06456,0.54579
154,19_1_2016_IZTAC,19,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,132,14,0.13991,0.01036,0.74039
155,19_1_2016_IZTAP,19,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,159,46,0.25845,0.00015,1.20472
156,19_1_2016_MIGUE,19,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,148,4,0.0727,0.17233,0.40209
157,19_1_2016_MILPA,19,1,2016,19.1769008636475,-98.9901885986328,MILPA ALTA,13,158,2,-0.04706,0.51908,-0.25607
158,19_1_2016_TLALP,19,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,134,8,-0.03953,0.46228,-0.23408
159,20_1_2016_AZCAP,20,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,141,8,0.01273,0.82162,0.07958
160,20_1_2016_BENIT,20,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,152,4,0.04583,0.38995,0.31513
161,20_1_2016_CUAUH,20,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,135,18,0.09876,0.06456,0.54579
162,20_1_2016_IZTAC,20,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,139,8,0.13991,0.01036,0.74039
163,20_1_2016_IZTAP,20,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,166,29,0.25845,0.00015,1.20472
164,20_1_2016_MIGUE,20,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,121,2,0.0727,0.17233,0.40209
165,20_1_2016_TLAHU,20,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,157,6,0.07758,0.16359,0.47823
166,20_1_2016_TLALP,20,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,116,12,-0.03953,0.46228,-0.23408
167,21_1_2016_AZCAP,21,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,153,6,0.01273,0.82162,0.07958
168,21_1_2016_BENIT,21,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,141,2,0.04583,0.38995,0.31513
169,21_1_2016_CUAJI,21,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,109,4,0.05489,0.40533,0.27603
170,21_1_2016_CUAUH,21,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,136,22,0.09876,0.06456,0.54579
171,21_1_2016_IZTAC,21,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,134,14,0.13991,0.01036,0.74039
172,21_1_2016_IZTAP,21,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,162,42,0.25845,0.00015,1.20472
173,21_1_2016_MIGUE,21,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,117,12,0.0727,0.17233,0.40209
174,21_1_2016_TLALP,21,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,92,2,-0.03953,0.46228,-0.23408
175,22_1_2016_AZCAP,22,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,148,4,0.01273,0.82162,0.07958
176,22_1_2016_BENIT,22,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,133,2,0.04583,0.38995,0.31513
177,22_1_2016_CUAUH,22,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,129,20,0.09876,0.06456,0.54579
178,22_1_2016_IZTAC,22,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,124,8,0.13991,0.01036,0.74039
179,22_1_2016_IZTAP,22,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,158,32,0.25845,0.00015,1.20472
180,22_1_2016_MIGUE,22,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,116,6,0.0727,0.17233,0.40209
181,22_1_2016_MILPA,22,1,2016,19.1769008636475,-98.9901885986328,MILPA ALTA,13,138,4,-0.04706,0.51908,-0.25607
182,22_1_2016_TLALP,22,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,114,8,-0.03953,0.46228,-0.23408
183,23_1_2016_AZCAP,23,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,150,2,0.01273,0.82162,0.07958
184,23_1_2016_BENIT,23,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,141,8,0.04583,0.38995,0.31513
185,23_1_2016_CUAJI,23,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,105,2,0.05489,0.40533,0.27603
186,23_1_2016_CUAUH,23,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,133,24,0.09876,0.06456,0.54579
187,23_1_2016_IZTAC,23,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,125,4,0.13991,0.01036,0.74039
188,23_1_2016_IZTAP,23,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,151,20,0.25845,0.00015,1.20472
189,23_1_2016_MIGUE,23,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,126,8,0.0727,0.17233,0.40209
190,23_1_2016_MILPA,23,1,2016,19.1769008636475,-98.9901885986328,MILPA ALTA,13,111,4,-0.04706,0.51908,-0.25607
191,23_1_2016_TLAHU,23,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,137,14,0.07758,0.16359,0.47823
